DURATION;POPULARITY;KEY;TEMPO;LOUDNESS;MODE;PLAYLISTID;MOOD;PLAYLIST;PLAYLISTDESCRIPTION;URI;ARTIST;SONG;DANCEABILITY;ENERGY;INSTRUMENTALNESS;ACOUSTICNESS
0.10435960140250743;0.676056338028169;0.9090909090909091;0.7326424939435081;0.7653870792884246;0.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:6pyex9B1kBoRIuabBAc4m8;Elvis Presley;Jailhouse Rock;0.635;0.672;5.03E-6;0.314
0.050035907569691195;0.09859154929577464;0.09090909090909091;0.22495540824747753;0.7760311437441483;0.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:4CUVL7ra51Tyclm9O9gnpD;Bill Haley;Rock Around the Clock - Remastered;0.779;0.873;0.0;0.241
0.07519467535332579;0.5915492957746479;0.2727272727272727;0.23867901924766388;0.8274774552801459;1.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:6OrnVjcEwJqEuoG50k4LQ0;Chuck Berry;Roll Over Beethoven - Single Version;0.723;0.931;0.0;0.849
0.04086891624852732;0.6197183098591549;0.45454545454545453;0.8442017410749939;0.6572709801409353;1.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:1q7njNe2QfE0xbZMtTOT2m;Little Richard;Long Tall Sally;0.415;0.635;0.0;0.608
0.03777100827516933;0.07042253521126761;0.0;0.12164230758991561;0.7835706894002858;1.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:4M1XXbCD3bqgth90y8kPpB;Ritchie Valens;La Bamba - Single Version;0.516;0.809;3.31E-4;0.787
0.0612071514736185;0.4788732394366197;0.6363636363636364;0.5753534062774539;0.6078943478046618;1.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:0STUX1dMWvC7RsyOTTgqxt;Paul Anka;Diana;0.562;0.414;0.0;0.297
0.045656592207353304;0.6197183098591549;0.9090909090909091;0.2251217953837553;0.9000147834228551;1.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:14bUqUj1EUnQabWeAqnj39;The Champs;Tequila (Original);0.532;0.961;0.905;0.0519
0.0700948616971842;0.43661971830985913;0.0;0.422803024252589;0.801261518750308;0.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:7cm4zWdkl1Qx4JxIG97VHH;Rosemary Clooney;Sway;0.606;0.639;8.38E-6;0.828
0.12022464526606805;0.36619718309859156;0.45454545454545453;0.4863895322524824;0.6611639481594639;0.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:5lsIHSpRerI6mY27QUd9d3;The Del-Vikings;Come Go With Me - Single Version;0.6;0.563;0.0;0.816
0.06962548170122086;0.5070422535211268;0.0;0.28791630061496676;0.3844675503868329;1.0;0GAdYvlIkfKBUnuHbQAT5c;NONE;All Out 50's;The 1950's were a time of changes and the music of the decade saw the birth of Rock ’n’ Roll, Rockabilly and Rhythm &amp, Blues.;spotify:track:07ePHsQ0SopWrnCbNjNC2D;Little Anthony & The Imperials;Tears On My Pillow;0.432;0.202;0.0;0.908
